state,county,candidate,party,votes
Delaware,Kent County,John Carney,DEM,44343
Delaware,Kent County,Julianne Murray,REP,39325
Delaware,Kent County,Kathy DeMatteis,IPD,1115
Delaware,Kent County,John Machurek,LIB,616
Delaware,New Castle County,John Carney,DEM,190941
Delaware,New Castle County,Julianne Murray,REP,81969
Delaware,New Castle County,Kathy DeMatteis,IPD,3768
Delaware,New Castle County,John Machurek,LIB,2013
Delaware,Sussex County,Julianne Murray,REP,68427
Delaware,Sussex County,John Carney,DEM,56869
Delaware,Sussex County,Kathy DeMatteis,IPD,1250
Delaware,Sussex County,John Machurek,LIB,622
Indiana,Adams County,Eric Holcomb,REP,9440
Indiana,Adams County,Donald Rainwater,LIB,2570
Indiana,Adams County,Woody Myers,DEM,2143
Indiana,Allen County,Eric Holcomb,REP,82249
Indiana,Allen County,Woody Myers,DEM,42790
Indiana,Allen County,Donald Rainwater,LIB,15324
Indiana,Bartholomew County,Eric Holcomb,REP,21959
Indiana,Bartholomew County,Woody Myers,DEM,9013
Indiana,Bartholomew County,Donald Rainwater,LIB,5064
Indiana,Benton County,Eric Holcomb,REP,2815
Indiana,Benton County,Woody Myers,DEM,671
Indiana,Benton County,Donald Rainwater,LIB,614
Indiana,Blackford County,Eric Holcomb,REP,3330
Indiana,Blackford County,Donald Rainwater,LIB,1017
Indiana,Blackford County,Woody Myers,DEM,932
Indiana,Boone County,Eric Holcomb,REP,23737
Indiana,Boone County,Woody Myers,DEM,9661
Indiana,Boone County,Donald Rainwater,LIB,5094
Indiana,Brown County,Eric Holcomb,REP,4913
Indiana,Brown County,Woody Myers,DEM,2349
Indiana,Brown County,Donald Rainwater,LIB,1601
Indiana,Carroll County,Eric Holcomb,REP,6077
Indiana,Carroll County,Donald Rainwater,LIB,1864
Indiana,Carroll County,Woody Myers,DEM,1569
Indiana,Cass County,Eric Holcomb,REP,8831
Indiana,Cass County,Woody Myers,DEM,3370
Indiana,Cass County,Donald Rainwater,LIB,2940
Indiana,Clark County,Eric Holcomb,REP,34662
Indiana,Clark County,Woody Myers,DEM,19072
Indiana,Clark County,Donald Rainwater,LIB,3677
Indiana,Clay County,Eric Holcomb,REP,8163
Indiana,Clay County,Donald Rainwater,LIB,2242
Indiana,Clay County,Woody Myers,DEM,1777
Indiana,Clinton County,Eric Holcomb,REP,7971
Indiana,Clinton County,Donald Rainwater,LIB,2514
Indiana,Clinton County,Woody Myers,DEM,2406
Indiana,Crawford County,Eric Holcomb,REP,3080
Indiana,Crawford County,Woody Myers,DEM,1256
Indiana,Crawford County,Donald Rainwater,LIB,555
Indiana,Daviess County,Eric Holcomb,REP,8313
Indiana,Daviess County,Donald Rainwater,LIB,2016
Indiana,Daviess County,Woody Myers,DEM,1531
Indiana,Dearborn County,Eric Holcomb,REP,18272
Indiana,Dearborn County,Woody Myers,DEM,4551
Indiana,Dearborn County,Donald Rainwater,LIB,2370
Indiana,Decatur County,Eric Holcomb,REP,7905
Indiana,Decatur County,Donald Rainwater,LIB,2787
Indiana,Decatur County,Woody Myers,DEM,1560
Indiana,DeKalb County,Eric Holcomb,REP,13042
Indiana,DeKalb County,Woody Myers,DEM,3293
Indiana,DeKalb County,Donald Rainwater,LIB,3158
Indiana,Delaware County,Eric Holcomb,REP,26710
Indiana,Delaware County,Woody Myers,DEM,15518
Indiana,Delaware County,Donald Rainwater,LIB,5470
Indiana,Dubois County,Eric Holcomb,REP,14402
Indiana,Dubois County,Woody Myers,DEM,4586
Indiana,Dubois County,Donald Rainwater,LIB,2599
Indiana,Elkhart County,Eric Holcomb,REP,45462
Indiana,Elkhart County,Woody Myers,DEM,20097
Indiana,Elkhart County,Donald Rainwater,LIB,7641
Indiana,Fayette County,Eric Holcomb,REP,6933
Indiana,Fayette County,Woody Myers,DEM,1707
Indiana,Fayette County,Donald Rainwater,LIB,1414
Indiana,Floyd County,Eric Holcomb,REP,24956
Indiana,Floyd County,Woody Myers,DEM,14945
Indiana,Floyd County,Donald Rainwater,LIB,1669
Indiana,Fountain County,Eric Holcomb,REP,5186
Indiana,Fountain County,Donald Rainwater,LIB,1613
Indiana,Fountain County,Woody Myers,DEM,1148
Indiana,Franklin County,Eric Holcomb,REP,8633
Indiana,Franklin County,Woody Myers,DEM,1690
Indiana,Franklin County,Donald Rainwater,LIB,1499
Indiana,Fulton County,Eric Holcomb,REP,5411
Indiana,Fulton County,Donald Rainwater,LIB,2077
Indiana,Fulton County,Woody Myers,DEM,1601
Indiana,Gibson County,Eric Holcomb,REP,11607
Indiana,Gibson County,Woody Myers,DEM,2990
Indiana,Gibson County,Donald Rainwater,LIB,1533
Indiana,Grant County,Eric Holcomb,REP,16847
Indiana,Grant County,Woody Myers,DEM,5849
Indiana,Grant County,Donald Rainwater,LIB,4325
Indiana,Greene County,Eric Holcomb,REP,9579
Indiana,Greene County,Donald Rainwater,LIB,2604
Indiana,Greene County,Woody Myers,DEM,2511
Indiana,Hamilton County,Eric Holcomb,REP,117723
Indiana,Hamilton County,Woody Myers,DEM,58699
Indiana,Hamilton County,Donald Rainwater,LIB,17116
Indiana,Hancock County,Eric Holcomb,REP,25484
Indiana,Hancock County,Donald Rainwater,LIB,8568
Indiana,Hancock County,Woody Myers,DEM,8495
Indiana,Harrison County,Eric Holcomb,REP,14060
Indiana,Harrison County,Woody Myers,DEM,4508
Indiana,Harrison County,Donald Rainwater,LIB,1599
Indiana,Hendricks County,Eric Holcomb,REP,50571
Indiana,Hendricks County,Woody Myers,DEM,23060
Indiana,Hendricks County,Donald Rainwater,LIB,14226
Indiana,Henry County,Eric Holcomb,REP,12591
Indiana,Henry County,Donald Rainwater,LIB,4442
Indiana,Henry County,Woody Myers,DEM,4127
Indiana,Howard County,Eric Holcomb,REP,24284
Indiana,Howard County,Woody Myers,DEM,9832
Indiana,Howard County,Donald Rainwater,LIB,6294
Indiana,Huntington County,Eric Holcomb,REP,11759
Indiana,Huntington County,Donald Rainwater,LIB,3168
Indiana,Huntington County,Woody Myers,DEM,2803
Indiana,Jackson County,Eric Holcomb,REP,11714
Indiana,Jackson County,Donald Rainwater,LIB,4188
Indiana,Jackson County,Woody Myers,DEM,3234
Indiana,Jasper County,Eric Holcomb,REP,10378
Indiana,Jasper County,Woody Myers,DEM,2904
Indiana,Jasper County,Donald Rainwater,LIB,2089
Indiana,Jay County,Eric Holcomb,REP,5227
Indiana,Jay County,Donald Rainwater,LIB,1938
Indiana,Jay County,Woody Myers,DEM,1240
Indiana,Jefferson County,Eric Holcomb,REP,9074
Indiana,Jefferson County,Woody Myers,DEM,3710
Indiana,Jefferson County,Donald Rainwater,LIB,1748
Indiana,Jennings County,Eric Holcomb,REP,7544
Indiana,Jennings County,Donald Rainwater,LIB,2676
Indiana,Jennings County,Woody Myers,DEM,1930
Indiana,Johnson County,Eric Holcomb,REP,47453
Indiana,Johnson County,Woody Myers,DEM,17626
Indiana,Johnson County,Donald Rainwater,LIB,12177
Indiana,Knox County,Eric Holcomb,REP,11209
Indiana,Knox County,Woody Myers,DEM,2809
Indiana,Knox County,Donald Rainwater,LIB,1821
Indiana,Kosciusko County,Eric Holcomb,REP,23007
Indiana,Kosciusko County,Donald Rainwater,LIB,6838
